date,time,lower,upper
2009-07-14,1,0.107,0.19
2009-07-14,2,0.102,0.191
2009-07-14,3,0.119,0.133
2009-07-14,4,0.071,0.159
2009-07-14,5,0.094,0.1
2009-07-14,6,0.062,0.145
2009-07-14,7,0.077,0.156
2009-07-14,8,0.113,0.149
2009-07-14,9,0.114,0.189
2009-07-14,10,0.766,1.871
2009-07-14,11,0.15,0.236
2009-07-14,12,0.114,0.409
2009-07-14,13,0.148,0.206
2009-07-14,14,0.335,0.48
2009-07-14,15,1.259,1.352
2009-07-14,16,0.151,0.308
2009-07-14,17,0.169,0.472
2009-07-14,18,0.205,0.704
2009-07-14,19,0.518,0.645
2009-07-14,20,0.103,0.113
2009-07-14,21,0.087,0.127
2009-07-14,22,0.33,0.377
2009-07-14,23,0.384,0.457
2009-07-14,24,0.173,0.252
2009-07-15,1,0.128,0.146
2009-07-15,2,0.077,0.13
2009-07-15,3,0.06,0.172
2009-07-15,4,0.101,0.156
2009-07-15,5,0.095,0.142
2009-07-15,6,0.074,0.15
2009-07-15,7,0.089,0.102
2009-07-15,8,0.104,0.136
2009-07-15,9,0.175,0.236
2009-07-15,10,0.604,0.922
2009-07-15,11,0.265,0.341
2009-07-15,12,0.305,0.389
2009-07-15,13,0.111,0.193
2009-07-15,14,0.203,0.257
2009-07-15,15,0.432,1.324
2009-07-15,16,0.133,0.182
2009-07-15,17,0.13,0.263
2009-07-15,18,0.108,0.415
2009-07-15,19,0.279,0.305
2009-07-15,20,0.085,0.167
2009-07-15,21,0.159,0.222
2009-07-15,22,0.192,0.308
2009-07-15,23,0.447,1.336
2009-07-15,24,0.489,2.419
2009-07-16,1,0.218,0.301
2009-07-16,2,0.124,0.158
2009-07-16,3,0.123,0.182
2009-07-16,4,0.076,0.168
2009-07-16,5,0.063,0.134
2009-07-16,6,0.114,0.174
2009-07-16,7,0.08,0.151
2009-07-16,8,0.331,0.809
2009-07-16,9,0.21,0.398
2009-07-16,10,0.268,0.364
2009-07-16,11,0.479,0.547
2009-07-16,12,1.404,2.01
2009-07-16,13,0.112,0.484
2009-07-16,14,0.123,0.276
2009-07-16,15,0.101,0.192
2009-07-16,16,0.152,1.648
2009-07-16,17,0.805,1.498
2009-07-16,18,0.578,0.792
2009-07-16,19,0.568,0.635
2009-07-16,20,0.276,0.492
2009-07-16,21,0.181,0.26
2009-07-16,22,0.16,0.26
2009-07-16,23,0.267,0.46
2009-07-16,24,0.159,0.348
2009-07-17,1,0.173,0.227
2009-07-17,2,0.116,0.158
2009-07-17,3,0.127,0.21
2009-07-17,4,0.089,0.128
2009-07-17,5,0.059,0.16
2009-07-17,6,0.104,0.149
2009-07-17,7,0.074,0.202
2009-07-17,8,0.243,0.711
2009-07-17,9,0.419,0.448
2009-07-17,10,0.295,0.702
2009-07-17,11,0.071,0.135
2009-07-17,12,0.12,0.136
2009-07-17,13,0.146,2.606
2009-07-17,14,0.245,0.292
2009-07-17,15,0.144,0.225
2009-07-17,16,0.257,0.33
2009-07-17,17,0.334,0.514
2009-07-17,18,0.133,0.337
2009-07-17,19,0.205,0.23
2009-07-17,20,0.181,0.464
2009-07-17,21,0.151,0.213
2009-07-17,22,0.117,0.201
2009-07-17,23,0.138,0.252
2009-07-17,24,0.14,0.456
2009-07-18,1,0.147,0.183
2009-07-18,2,0.12,0.205
2009-07-18,3,0.124,0.194
2009-07-18,4,0.09,0.174
2009-07-18,5,0.099,0.175
2009-07-18,6,0.075,0.1
2009-07-18,7,0.118,0.157
2009-07-18,8,0.151,0.257
2009-07-18,9,0.151,1.863
2009-07-18,10,0.409,0.588
2009-07-18,11,0.506,0.842
2009-07-18,12,0.444,0.652
2009-07-18,13,0.248,0.417
2009-07-18,14,1.453,1.905
2009-07-18,15,0.614,0.758
2009-07-18,16,0.072,0.337
2009-07-18,17,0.174,0.354
2009-07-18,18,0.156,0.204
2009-07-18,19,0.191,0.229
2009-07-18,20,0.124,0.197
2009-07-18,21,0.151,0.378
2009-07-18,22,0.138,0.169
2009-07-18,23,0.22,0.337
2009-07-18,24,0.413,0.604
2009-07-19,1,0.129,0.2
2009-07-19,2,0.107,0.163
2009-07-19,3,0.166,0.224
2009-07-19,4,0.078,0.236
2009-07-19,5,0.12,0.136
2009-07-19,6,0.074,0.151
2009-07-19,7,0.093,0.118
2009-07-19,8,0.113,0.172
2009-07-19,9,0.155,0.169
2009-07-19,10,0.097,0.207
2009-07-19,11,0.503,1.703
2009-07-19,12,0.449,0.816
2009-07-19,13,0.233,0.554
2009-07-19,14,0.228,0.29
2009-07-19,15,0.786,2.992
2009-07-19,16,0.16,0.206
2009-07-19,17,0.136,0.202
2009-07-19,18,0.136,0.153
2009-07-19,19,0.072,0.131
2009-07-19,20,0.07,0.146
2009-07-19,21,0.139,0.581
