date,time,lower,upper
2009-07-14,1,0.11,0.15
2009-07-14,2,0.03,0.105
2009-07-14,3,0.048,0.161
2009-07-14,4,0.108,0.129
2009-07-14,5,0.076,0.097
2009-07-14,6,0.107,0.134
2009-07-14,7,0.295,0.339
2009-07-14,8,0.048,0.25
2009-07-14,9,0.071,0.162
2009-07-14,10,0.127,0.349
2009-07-14,11,0.183,0.256
2009-07-14,12,0.145,0.159
2009-07-14,13,0.105,0.123
2009-07-14,14,0.064,0.133
2009-07-14,15,0.052,0.105
2009-07-14,16,0.716,0.835
2009-07-14,17,0.104,0.302
2009-07-14,18,0.197,0.308
2009-07-14,19,0.146,0.223
2009-07-14,20,0.169,0.197
2009-07-14,21,0.193,0.408
2009-07-14,22,0.172,0.191
2009-07-14,23,0.124,0.139
2009-07-14,24,0.076,0.113
2009-07-15,1,0.05,0.135
2009-07-15,2,0.108,0.122
2009-07-15,3,0.068,0.152
2009-07-15,4,0.036,0.112
2009-07-15,5,0.068,0.125
2009-07-15,6,0.026,0.162
2009-07-15,7,0.172,0.556
2009-07-15,8,0.152,0.238
2009-07-15,9,0.04,0.143
2009-07-15,10,0.126,0.224
2009-07-15,11,0.401,0.649
2009-07-15,12,0.291,0.348
2009-07-15,13,0.108,0.212
2009-07-15,14,0.155,0.306
2009-07-15,15,0.026,0.171
2009-07-15,16,0.085,0.114
2009-07-15,17,1.04,1.761
2009-07-15,18,0.208,0.482
2009-07-15,19,0.134,0.136
2009-07-15,20,0.069,0.143
2009-07-15,21,0.109,0.126
2009-07-15,22,0.106,0.236
2009-07-15,23,0.152,0.195
2009-07-15,24,0.158,0.224
2009-07-16,1,0.025,0.148
2009-07-16,2,0.05,0.103
2009-07-16,3,0.044,0.164
2009-07-16,4,0.097,0.145
2009-07-16,5,0.045,0.162
2009-07-16,6,0.047,0.146
2009-07-16,7,0.171,0.333
2009-07-16,8,0.024,0.53
2009-07-16,9,0.056,0.166
2009-07-16,10,0.139,0.389
2009-07-16,11,0.093,0.212
2009-07-16,12,0.083,0.211
2009-07-16,13,0.118,0.36
2009-07-16,14,0.091,0.195
2009-07-16,15,0.051,0.172
2009-07-16,16,0.121,0.129
2009-07-16,17,0.168,2.558
2009-07-16,18,0.418,0.626
2009-07-16,19,0.106,0.204
2009-07-16,20,0.155,0.178
2009-07-16,21,0.356,0.555
2009-07-16,22,0.19,0.339
2009-07-16,23,0.102,0.153
2009-07-16,24,0.104,0.163
2009-07-17,1,0.12,0.144
2009-07-17,2,0.104,0.162
2009-07-17,3,0.104,0.124
2009-07-17,4,0.063,0.117
2009-07-17,5,0.023,0.154
2009-07-17,6,0.105,0.17
2009-07-17,7,0.045,0.421
2009-07-17,8,0.109,0.533
2009-07-17,9,0.1,0.106
2009-07-17,10,0.169,0.308
2009-07-17,11,0.12,0.138
2009-07-17,12,0.117,0.274
2009-07-17,13,0.039,0.146
2009-07-17,14,0.108,0.139
2009-07-17,15,0.05,0.147
2009-07-17,16,0.065,0.083
2009-07-17,17,0.042,0.162
2009-07-17,18,0.544,2.298
2009-07-17,19,0.159,0.186
2009-07-17,20,0.105,0.161
2009-07-17,21,0.022,0.171
2009-07-17,22,0.194,0.292
2009-07-17,23,0.121,0.176
2009-07-17,24,0.154,0.23
2009-07-18,1,0.099,0.125
2009-07-18,2,0.102,0.114
2009-07-18,3,0.071,0.158
2009-07-18,4,0.019,0.108
2009-07-18,5,0.104,0.168
2009-07-18,6,0.076,0.11
2009-07-18,7,0.115,0.346
2009-07-18,8,0.168,0.692
2009-07-18,9,0.101,0.452
2009-07-18,10,0.132,0.275
2009-07-18,11,0.082,0.107
2009-07-18,12,0.051,0.127
2009-07-18,13,0.241,1.137
2009-07-18,14,0.053,0.162
2009-07-18,15,0.063,0.085
2009-07-18,16,0.072,0.177
2009-07-18,17,0.946,2.363
2009-07-18,18,0.047,0.154
2009-07-18,19,0.318,0.48
2009-07-18,20,0.118,0.259
2009-07-18,21,0.086,0.37
2009-07-18,22,0.094,0.138
2009-07-18,23,0.083,0.105
2009-07-18,24,0.101,0.104
2009-07-19,1,0.105,0.148
2009-07-19,2,0.03,0.114
2009-07-19,3,0.035,0.135
2009-07-19,4,0.081,0.162
2009-07-19,5,0.045,0.162
2009-07-19,6,0.059,0.101
2009-07-19,7,0.113,0.125
2009-07-19,8,0.832,1.966
2009-07-19,9,0.043,0.148
2009-07-19,10,0.091,0.654
2009-07-19,11,0.091,1.291
2009-07-19,12,0.097,0.105
2009-07-19,13,0.503,0.707
2009-07-19,14,0.104,0.119
2009-07-19,15,0.493,2.267
2009-07-19,16,0.191,0.529
2009-07-19,17,0.26,0.514
2009-07-19,18,0.188,0.281
2009-07-19,19,0.073,0.38
2009-07-19,20,0.077,0.145
2009-07-19,21,0.103,0.105
2009-07-19,22,0.101,0.357
2009-07-19,23,0.097,0.181
2009-07-19,24,0.103,0.235
2009-07-20,1,0.09,0.097
2009-07-20,2,0.106,0.141
2009-07-20,3,0.047,0.162
2009-07-20,4,0.022,0.111
2009-07-20,5,0.107,0.174
2009-07-20,6,0.082,0.108
2009-07-20,7,0.168,0.437
2009-07-20,8,0.158,0.252
2009-07-20,9,0.028,0.154
2009-07-20,10,0.059,0.258
2009-07-20,11,0.053,0.157
2009-07-20,12,0.102,0.132
2009-07-20,13,0.038,0.148
2009-07-20,14,0.085,0.102
2009-07-20,15,0.1,0.101
2009-07-20,16,0.087,0.223
2009-07-20,17,0.056,0.152
2009-07-20,18,0.378,1.926
2009-07-20,19,0.174,0.189
2009-07-20,20,0.12,0.174
2009-07-20,21,0.058,0.109
2009-07-20,22,0.135,0.352
2009-07-20,23,0.192,0.213
2009-07-20,24,0.149,0.159
2009-07-21,1,0.1,0.101
2009-07-21,2,0.1,0.161
2009-07-21,3,0.11,0.147
2009-07-21,4,0.099,0.158
2009-07-21,5,0.099,0.128
2009-07-21,6,0.099,0.128
2009-07-21,7,0.307,0.554
2009-07-21,8,0.061,0.135
2009-07-21,9,0.106,0.123
2009-07-21,10,0.06,0.1
2009-07-21,11,0.091,0.091
2009-07-21,12,0.031,0.143
2009-07-21,13,0.217,0.266
2009-07-21,14,0.017,0.129
2009-07-21,15,0.028,0.122
2009-07-21,16,0.087,0.162
2009-07-21,17,0.03,0.162
2009-07-21,18,0.082,0.327
2009-07-21,19,0.098,0.099
2009-07-21,20,0.024,0.149
2009-07-21,21,0.14,0.31
2009-07-21,22,0.121,0.222
2009-07-21,23,0.139,0.17
2009-07-21,24,0.102,0.125
2009-07-22,1,0.067,0.113
2009-07-22,2,0.103,0.124
2009-07-22,3,0.057,0.119
2009-07-22,4,0.053,0.111
2009-07-22,5,0.07,0.153
2009-07-22,6,0.06,0.162
2009-07-22,7,0.048,0.279
2009-07-22,8,0.031,0.378
2009-07-22,9,0.109,0.137
2009-07-22,10,0.021,0.61
2009-07-22,11,0.096,0.103
2009-07-22,12,0.082,0.102
2009-07-22,13,0.153,0.222
2009-07-22,14,0.11,0.163
2009-07-22,15,0.028,0.137
2009-07-22,16,0.142,1.302
2009-07-22,17,0.101,0.28
2009-07-22,18,0.103,0.302
2009-07-22,19,0.044,0.164
2009-07-22,20,0.019,0.099
2009-07-22,21,0.161,0.205
2009-07-22,22,0.166,0.241
2009-07-22,23,0.12,0.135
2009-07-22,24,0.038,0.106
2009-07-23,1,0.012,0.157
2009-07-23,2,0.12,0.15
2009-07-23,3,0.032,0.147
2009-07-23,4,0.053,0.101
2009-07-23,5,0.102,0.124
2009-07-23,6,0.075,0.102
2009-07-23,7,0.103,0.494
2009-07-23,8,0.144,0.461
2009-07-23,9,0.099,0.318
2009-07-23,10,0.08,0.315
2009-07-23,11,0.041,0.153
2009-07-23,12,0.078,0.089
2009-07-23,13,0.108,0.974
2009-07-23,14,0.099,0.103
2009-07-23,15,0.046,0.271
2009-07-23,16,0.104,0.138
2009-07-23,17,0.04,0.133
2009-07-23,18,0.927,1.876
2009-07-23,19,0.067,0.375
2009-07-23,20,0.105,0.116
2009-07-23,21,0.06,0.242
2009-07-23,22,0.155,0.205
2009-07-23,23,0.04,0.187
2009-07-23,24,0.093,0.149
2009-07-24,1,0.029,0.142
2009-07-24,2,0.015,0.114
2009-07-24,3,0.084,0.17
2009-07-24,4,0.04,0.163
2009-07-24,5,0.061,0.099
2009-07-24,6,0.037,0.128
2009-07-24,7,0.315,0.371
2009-07-24,8,0.259,0.295
2009-07-24,9,0.067,0.112
2009-07-24,10,0.106,0.218
2009-07-24,11,0.1,0.137
2009-07-24,12,0.076,0.109
2009-07-24,13,0.14,0.369
2009-07-24,14,0.092,0.102
2009-07-24,15,0.087,0.101
2009-07-24,16,0.101,0.279
2009-07-24,17,0.106,0.217
2009-07-24,18,0.192,0.77
2009-07-24,19,0.15,0.166
2009-07-24,20,0.103,0.119
2009-07-24,21,0.086,0.099
2009-07-24,22,0.132,0.336
2009-07-24,23,0.138,0.174
2009-07-24,24,0.062,0.121
2009-07-25,1,0.054,0.108
2009-07-25,2,0.103,0.133
2009-07-25,3,0.065,0.123
2009-07-25,4,0.09,0.093
2009-07-25,5,0.06,0.109
2009-07-25,6,0.106,0.13
2009-07-25,7,0.065,0.366
2009-07-25,8,0.127,0.609
2009-07-25,9,0.047,0.103
2009-07-25,10,0.049,0.14
2009-07-25,11,0.096,0.136
2009-07-25,12,0.028,0.166
2009-07-25,13,0.048,0.107
2009-07-25,14,0.301,1.836
2009-07-25,15,0.074,0.169
2009-07-25,16,0.091,0.126
2009-07-25,17,0.081,0.725
2009-07-25,18,0.102,0.344
2009-07-25,19,0.095,0.119
2009-07-25,20,0.09,0.106
2009-07-25,21,0.102,0.245
2009-07-25,22,0.173,0.206
2009-07-25,23,1.566,2.017
2009-07-25,24,0.582,0.662
2009-07-26,1,0.033,0.386
2009-07-26,2,0.111,0.153
2009-07-26,3,0.021,0.17
2009-07-26,4,0.025,0.105
2009-07-26,5,0.08,0.172
2009-07-26,6,0.087,0.131
2009-07-26,7,0.054,2.317
2009-07-26,8,0.156,2.338
2009-07-26,9,0.13,0.255
2009-07-26,10,0.102,0.106
2009-07-26,11,0.08,0.137
2009-07-26,12,0.157,0.246
2009-07-26,13,0.104,0.607
2009-07-26,14,0.316,2.61
2009-07-26,15,0.149,0.202
2009-07-26,16,0.198,0.43
