date,time,lower,upper
2009-07-14,1,0.051,0.052
2009-07-14,2,0.115,0.123
2009-07-14,3,0.042,0.102
2009-07-14,4,0.042,0.093
2009-07-14,5,0.12,0.124
2009-07-14,6,0.053,0.116
2009-07-14,7,0.026,0.106
2009-07-14,8,0.055,0.098
2009-07-14,9,0.018,0.019
2009-07-14,10,0.081,0.1
2009-07-14,11,0.018,0.072
2009-07-14,12,0.018,0.063
2009-07-14,13,0.102,0.111
2009-07-14,14,0.103,0.11
2009-07-14,15,0.101,0.105
2009-07-14,16,0.279,1.285
2009-07-14,17,0.492,1.163
2009-07-14,18,0.512,0.706
2009-07-14,19,0.458,0.728
2009-07-14,20,0.538,0.548
2009-07-14,21,0.507,0.562
2009-07-14,22,0.414,0.592
2009-07-14,23,0.526,0.644
2009-07-14,24,0.097,0.098
2009-07-15,1,0.022,0.025
2009-07-15,2,0.055,0.103
2009-07-15,3,0.05,0.097
2009-07-15,4,0.019,0.019
2009-07-15,5,0.099,0.099
2009-07-15,6,0.072,0.075
2009-07-15,7,0.019,0.064
2009-07-15,8,0.085,0.101
2009-07-15,9,0.019,0.019
2009-07-15,10,0.046,0.104
2009-07-15,11,0.043,0.098
2009-07-15,12,0.019,1.502
2009-07-15,13,0.667,2.915
2009-07-15,14,0.499,1.695
2009-07-15,15,0.448,0.514
2009-07-15,16,0.134,0.225
2009-07-15,17,0.49,1.43
2009-07-15,18,0.396,0.406
2009-07-15,19,0.546,0.657
2009-07-15,20,0.381,0.499
2009-07-15,21,0.31,0.671
2009-07-15,22,0.319,0.511
2009-07-15,23,0.486,0.547
2009-07-15,24,0.055,0.162
2009-07-16,1,0.013,0.014
2009-07-16,2,0.094,0.098
2009-07-16,3,0.013,0.07
2009-07-16,4,0.014,0.077
2009-07-16,5,0.081,0.095
2009-07-16,6,0.013,0.115
2009-07-16,7,0.057,0.097
2009-07-16,8,0.013,0.09
2009-07-16,9,0.013,0.04
2009-07-16,10,0.092,0.098
2009-07-16,11,0.013,0.014
2009-07-16,12,0.034,0.099
2009-07-16,13,0.017,0.092
2009-07-16,14,0.013,0.03
2009-07-16,15,0.093,0.1
2009-07-16,16,0.013,0.028
2009-07-16,17,0.013,0.099
2009-07-16,18,0.043,0.094
2009-07-16,19,0.014,0.014
2009-07-16,20,0.087,0.097
2009-07-16,21,0.015,0.067
2009-07-16,22,0.485,0.572
2009-07-16,23,0.125,0.545
2009-07-16,24,0.054,0.057
2009-07-17,1,0.132,0.134
2009-07-17,2,0.044,0.091
2009-07-17,3,0.049,0.102
2009-07-17,4,0.098,0.135
2009-07-17,5,0.052,0.052
2009-07-17,6,0.106,0.201
2009-07-17,7,0.044,0.138
2009-07-17,8,0.049,0.064
2009-07-17,9,0.13,0.138
2009-07-17,10,0.043,0.076
2009-07-17,11,0.043,0.1
2009-07-17,12,0.112,0.125
2009-07-17,13,0.404,0.896
2009-07-17,14,0.436,0.636
2009-07-17,15,0.442,1.951
2009-07-17,16,0.311,0.45
2009-07-17,17,0.299,2.727
2009-07-17,18,2.724,3.222
2009-07-17,19,0.359,0.388
2009-07-17,20,0.172,0.67
2009-07-17,21,0.373,0.383
2009-07-17,22,0.296,0.328
2009-07-17,23,0.386,0.402
2009-07-17,24,0.096,0.265
2009-07-18,1,0.043,0.09
2009-07-18,2,0.099,0.105
2009-07-18,3,0.021,0.031
2009-07-18,4,0.021,0.109
2009-07-18,5,0.065,0.102
2009-07-18,6,0.021,0.021
2009-07-18,7,0.071,0.104
2009-07-18,8,0.021,0.085
2009-07-18,9,0.021,0.046
2009-07-18,10,0.1,0.107
2009-07-18,11,0.115,0.369
2009-07-18,12,0.377,0.522
2009-07-18,13,0.368,0.387
2009-07-18,14,0.376,1.555
2009-07-18,15,1.183,1.187
2009-07-18,16,0.33,0.373
2009-07-18,17,0.516,2.263
2009-07-18,18,2.48,3.655
2009-07-18,19,0.95,0.968
2009-07-18,20,0.872,0.99
2009-07-18,21,0.13,0.636
2009-07-18,22,0.014,0.014
2009-07-18,23,0.074,0.096
2009-07-18,24,0.014,0.065
2009-07-19,1,0.014,0.076
2009-07-19,2,0.064,0.096
2009-07-19,3,0.014,0.015
2009-07-19,4,0.098,0.194
2009-07-19,5,0.016,0.049
2009-07-19,6,0.015,0.091
2009-07-19,7,0.055,0.096
2009-07-19,8,0.014,0.014
2009-07-19,9,0.077,0.096
2009-07-19,10,0.014,0.073
2009-07-19,11,0.014,0.061
2009-07-19,12,0.197,0.537
2009-07-19,13,0.789,0.99
2009-07-19,14,0.493,0.526
2009-07-19,15,0.297,0.496
2009-07-19,16,0.193,0.211
2009-07-19,17,0.376,0.429
2009-07-19,18,0.34,0.374
2009-07-19,19,0.32,0.555
2009-07-19,20,0.41,0.826
2009-07-19,21,0.253,0.282
2009-07-19,22,0.563,0.67
2009-07-19,23,0.505,0.541
2009-07-19,24,0.548,0.549
2009-07-20,1,0.603,0.608
2009-07-20,2,0.019,0.412
2009-07-20,3,0.027,0.106
2009-07-20,4,0.033,0.099
2009-07-20,5,0.019,0.02
2009-07-20,6,0.11,0.139
2009-07-20,7,0.019,0.05
2009-07-20,8,0.02,0.077
2009-07-20,9,0.052,0.101
2009-07-20,10,0.019,0.019
2009-07-20,11,0.071,0.101
2009-07-20,12,0.075,0.078
2009-07-20,13,0.323,0.652
2009-07-20,14,0.386,0.476
2009-07-20,15,0.566,0.654
2009-07-20,16,0.507,0.645
2009-07-20,17,0.404,0.483
2009-07-20,18,0.365,0.423
2009-07-20,19,0.419,0.655
2009-07-20,20,0.546,0.739
2009-07-20,21,0.461,0.816
2009-07-20,22,0.477,0.532
2009-07-20,23,0.657,0.675
2009-07-20,24,0.097,0.116
2009-07-21,1,0.019,0.028
2009-07-21,2,0.07,0.101
2009-07-21,3,0.049,0.097
2009-07-21,4,0.02,0.034
2009-07-21,5,0.098,0.105
2009-07-21,6,0.059,0.081
2009-07-21,7,0.028,0.104
2009-07-21,8,0.093,0.098
2009-07-21,9,0.019,0.019
2009-07-21,10,0.047,0.103
2009-07-21,11,0.083,0.096
2009-07-21,12,0.019,0.153
2009-07-21,13,0.536,0.762
2009-07-21,14,0.525,0.675
2009-07-21,15,0.288,0.345
2009-07-21,16,0.353,0.383
2009-07-21,17,1.477,1.59
2009-07-21,18,0.403,0.447
2009-07-21,19,0.278,0.357
2009-07-21,20,0.456,0.633
2009-07-21,21,0.057,0.091
2009-07-21,22,0.418,0.581
2009-07-21,23,0.605,0.748
2009-07-21,24,0.57,0.723
2009-07-22,1,0.474,0.549
2009-07-22,2,0.094,0.102
2009-07-22,3,0.014,0.058
2009-07-22,4,0.014,0.064
2009-07-22,5,0.085,0.097
2009-07-22,6,0.014,0.078
2009-07-22,7,0.051,0.098
2009-07-22,8,0.059,0.093
2009-07-22,9,0.014,0.014
2009-07-22,10,0.047,0.098
2009-07-22,11,0.061,0.091
