date,time,lower,upper
2009-07-14,1,0.362,0.493
2009-07-14,2,0.371,0.434
2009-07-14,3,0.215,0.255
2009-07-14,4,0.244,0.244
2009-07-14,5,0.256,0.257
2009-07-14,6,0.245,0.246
2009-07-14,7,0.242,0.243
2009-07-14,8,0.249,0.347
2009-07-14,9,0.297,0.676
2009-07-14,10,0.187,0.189
2009-07-14,11,0.184,0.189
2009-07-14,12,0.185,0.347
2009-07-14,13,0.46,0.489
2009-07-14,14,0.609,0.718
2009-07-14,15,0.447,0.477
2009-07-14,16,0.405,0.501
2009-07-14,17,0.454,2.725
2009-07-14,18,0.572,1.383
2009-07-14,19,0.667,1.045
2009-07-14,20,0.706,0.785
2009-07-14,21,0.364,0.422
2009-07-14,22,0.413,0.941
2009-07-14,23,1.131,1.81
2009-07-14,24,0.668,0.884
2009-07-15,1,0.251,0.624
2009-07-15,2,0.214,0.215
2009-07-15,3,0.161,0.162
2009-07-15,4,0.166,0.184
2009-07-15,5,0.16,0.171
2009-07-15,6,0.16,0.161
2009-07-15,7,0.164,0.171
2009-07-15,8,0.249,0.287
2009-07-15,9,0.986,1.352
2009-07-15,10,0.899,0.9
2009-07-15,11,0.184,0.224
2009-07-15,12,0.277,0.307
2009-07-15,13,1.054,1.277
2009-07-15,14,0.634,0.797
2009-07-15,15,0.394,0.407
2009-07-15,16,0.38,0.415
2009-07-15,17,0.317,0.547
2009-07-15,18,0.32,0.37
2009-07-15,19,0.409,0.925
2009-07-15,20,0.391,0.425
2009-07-15,21,0.322,0.324
2009-07-15,22,1.176,1.328
2009-07-15,23,0.999,1.226
2009-07-15,24,0.998,1.034
2009-07-16,1,0.195,0.395
2009-07-16,2,0.17,0.196
2009-07-16,3,0.159,0.159
2009-07-16,4,0.17,0.171
2009-07-16,5,0.16,0.163
2009-07-16,6,0.159,0.159
2009-07-16,7,0.166,0.169
2009-07-16,8,0.163,0.276
2009-07-16,9,0.325,0.771
2009-07-16,10,0.234,2.222
2009-07-16,11,1.212,2.01
2009-07-16,12,0.547,0.882
2009-07-16,13,2.417,3.051
2009-07-16,14,0.767,0.989
2009-07-16,15,0.644,1.472
2009-07-16,16,0.586,1.189
2009-07-16,17,0.793,0.906
2009-07-16,18,0.776,1.551
2009-07-16,19,0.758,1.587
2009-07-16,20,0.432,0.62
2009-07-16,21,0.387,0.554
2009-07-16,22,0.859,1.203
2009-07-16,23,1.423,1.54
2009-07-16,24,1.163,1.167
2009-07-17,1,0.232,0.285
2009-07-17,2,0.217,0.262
2009-07-17,3,0.169,0.193
2009-07-17,4,0.172,0.766
2009-07-17,5,0.428,0.674
2009-07-17,6,0.159,0.17
2009-07-17,7,0.158,0.166
2009-07-17,8,0.168,0.242
2009-07-17,9,0.368,0.434
2009-07-17,10,0.171,0.172
2009-07-17,11,0.294,0.324
2009-07-17,12,0.227,0.366
2009-07-17,13,0.837,1.114
2009-07-17,14,0.568,0.732
2009-07-17,15,0.401,1.235
2009-07-17,16,0.278,0.363
2009-07-17,17,0.454,0.824
2009-07-17,18,0.73,0.826
2009-07-17,19,0.345,1.15
2009-07-17,20,0.56,0.604
2009-07-17,21,0.527,0.61
2009-07-17,22,0.541,0.623
2009-07-17,23,0.94,1.563
2009-07-17,24,0.886,1.139
2009-07-18,1,0.424,0.644
2009-07-18,2,0.313,0.4
2009-07-18,3,0.204,0.436
2009-07-18,4,0.186,0.474
2009-07-18,5,0.175,0.194
2009-07-18,6,0.171,0.175
2009-07-18,7,0.18,0.199
2009-07-18,8,0.171,0.179
2009-07-18,9,0.168,0.186
2009-07-18,10,0.183,0.807
2009-07-18,11,0.411,0.985
2009-07-18,12,0.269,0.573
2009-07-18,13,0.477,1.098
2009-07-18,14,1.258,1.37
2009-07-18,15,0.844,1.245
2009-07-18,16,0.653,3.986
2009-07-18,17,0.595,0.674
2009-07-18,18,0.646,1.482
2009-07-18,19,0.613,0.629
2009-07-18,20,0.448,0.548
2009-07-18,21,0.442,0.5
2009-07-18,22,0.773,0.822
2009-07-18,23,0.491,0.513
2009-07-18,24,0.457,0.488
2009-07-19,1,0.471,0.472
2009-07-19,2,0.453,0.46
2009-07-19,3,0.29,0.422
2009-07-19,4,0.312,0.315
2009-07-19,5,0.342,0.445
2009-07-19,6,0.288,0.302
2009-07-19,7,0.286,0.298
2009-07-19,8,0.159,0.286
2009-07-19,9,0.089,0.09
2009-07-19,10,0.093,0.149
2009-07-19,11,0.135,0.385
2009-07-19,12,0.42,0.79
2009-07-19,13,2.206,2.582
2009-07-19,14,1.985,3.456
2009-07-19,15,0.699,3.212
2009-07-19,16,0.744,1.023
2009-07-19,17,0.745,0.76
2009-07-19,18,0.499,0.519
2009-07-19,19,0.499,0.646
2009-07-19,20,0.573,1.155
2009-07-19,21,0.799,0.804
2009-07-19,22,0.57,0.627
