date,time,lower,upper
2009-07-14,1,0.327,0.332
2009-07-14,2,0.353,0.364
2009-07-14,3,0.295,0.583
2009-07-14,4,0.395,0.475
2009-07-14,5,0.35,0.451
2009-07-14,6,0.609,0.691
2009-07-14,7,0.482,1.428
2009-07-14,8,0.528,1.157
2009-07-14,9,0.337,0.592
2009-07-14,10,0.516,0.836
2009-07-14,11,0.459,2.192
2009-07-14,12,1.308,1.352
2009-07-14,13,0.211,0.307
2009-07-14,14,0.218,1.014
2009-07-14,15,0.531,0.574
2009-07-14,16,0.607,2.974
2009-07-14,17,0.146,0.446
2009-07-14,18,0.145,0.243
2009-07-14,19,0.065,0.065
2009-07-14,20,0.097,0.152
2009-07-14,21,0.231,0.322
2009-07-14,22,1.564,2.184
2009-07-14,23,0.518,0.639
2009-07-14,24,0.515,0.611
2009-07-15,1,0.602,0.612
2009-07-15,2,0.388,0.447
2009-07-15,3,0.452,0.454
2009-07-15,4,0.475,0.595
2009-07-15,5,0.497,0.636
2009-07-15,6,0.271,0.487
2009-07-15,7,0.497,1.166
2009-07-15,8,0.593,0.71
2009-07-15,9,0.525,2.484
2009-07-15,10,0.58,1.005
2009-07-15,11,0.464,1.466
2009-07-15,12,0.584,2.346
2009-07-15,13,0.369,1.921
2009-07-15,14,2.187,2.878
2009-07-15,15,3.778,4.534
2009-07-15,16,2.575,3.189
2009-07-15,17,1.25,2.555
2009-07-15,18,0.531,1.216
2009-07-15,19,0.263,0.283
2009-07-15,20,0.243,0.453
2009-07-15,21,0.146,0.175
2009-07-15,22,0.222,0.643
2009-07-15,23,0.224,0.225
2009-07-15,24,0.163,0.39
2009-07-16,1,0.388,0.971
2009-07-16,2,0.447,0.721
2009-07-16,3,0.511,0.637
2009-07-16,4,0.327,0.422
2009-07-16,5,0.426,0.74
2009-07-16,6,0.469,0.728
2009-07-16,7,0.584,0.981
2009-07-16,8,1.363,2.191
2009-07-16,9,0.562,0.628
2009-07-16,10,0.549,0.757
2009-07-16,11,0.679,0.893
2009-07-16,12,0.528,3.711
2009-07-16,13,1.369,1.912
2009-07-16,14,0.983,1.643
2009-07-16,15,0.513,0.809
2009-07-16,16,0.896,1.888
2009-07-16,17,0.885,1.856
2009-07-16,18,1.177,2.734
2009-07-16,19,0.443,1.269
2009-07-16,20,0.637,0.969
2009-07-16,21,0.61,0.844
2009-07-16,22,0.28,0.352
2009-07-16,23,0.572,0.611
2009-07-16,24,0.382,0.409
2009-07-17,1,0.266,0.314
2009-07-17,2,0.309,0.395
2009-07-17,3,0.346,0.445
2009-07-17,4,0.353,0.437
2009-07-17,5,0.173,0.225
2009-07-17,6,0.46,0.836
2009-07-17,7,0.077,0.464
2009-07-17,8,0.067,0.104
2009-07-17,9,0.425,0.457
2009-07-17,10,0.203,0.333
2009-07-17,11,0.117,0.239
2009-07-17,12,0.18,0.267
2009-07-17,13,0.443,1.42
2009-07-17,14,0.448,1.456
2009-07-17,15,0.27,1.065
2009-07-17,16,0.177,0.315
2009-07-17,17,1.27,1.776
2009-07-17,18,2.243,3.13
2009-07-17,19,0.742,1.959
2009-07-17,20,1.658,1.794
2009-07-17,21,1.131,2.729
2009-07-17,22,0.148,1.967
2009-07-17,23,0.762,1.862
2009-07-17,24,0.6,0.832
2009-07-18,1,0.461,0.568
2009-07-18,2,0.366,0.55
2009-07-18,3,0.38,0.711
2009-07-18,4,0.477,1.398
2009-07-18,5,0.525,0.574
2009-07-18,6,0.48,0.611
2009-07-18,7,0.499,0.666
2009-07-18,8,0.442,0.809
2009-07-18,9,0.507,0.581
2009-07-18,10,1.656,1.717
2009-07-18,11,0.442,0.468
2009-07-18,12,1.036,2.704
2009-07-18,13,1.852,2.598
2009-07-18,14,1.746,3.115
2009-07-18,15,0.628,0.826
2009-07-18,16,0.759,0.759
2009-07-18,17,2.072,3.29
2009-07-18,18,0.225,0.314
2009-07-18,19,0.826,1.097
2009-07-18,20,0.399,0.507
2009-07-18,21,0.276,0.424
2009-07-18,22,0.291,0.51
2009-07-18,23,0.769,1.288
2009-07-18,24,0.592,0.756
2009-07-19,1,0.446,1.065
2009-07-19,2,0.379,0.688
2009-07-19,3,0.463,0.503
2009-07-19,4,0.342,0.47
2009-07-19,5,0.315,0.587
2009-07-19,6,0.456,0.771
2009-07-19,7,0.507,0.569
2009-07-19,8,0.798,0.851
2009-07-19,9,0.928,1.759
2009-07-19,10,0.463,0.69
2009-07-19,11,0.597,0.656
2009-07-19,12,3.064,4.476
2009-07-19,13,1.763,1.857
2009-07-19,14,2.092,2.775
2009-07-19,15,2.842,3.448
2009-07-19,16,0.902,3.44
2009-07-19,17,0.487,0.666
2009-07-19,18,0.437,0.466
2009-07-19,19,0.718,0.723
2009-07-19,20,0.979,1.352
2009-07-19,21,1.853,2.735
2009-07-19,22,0.977,1.896
2009-07-19,23,0.721,1.441
2009-07-19,24,0.581,0.593
2009-07-20,1,0.38,0.436
2009-07-20,2,0.341,0.566
2009-07-20,3,0.271,0.523
2009-07-20,4,0.265,0.589
2009-07-20,5,0.41,0.439
2009-07-20,6,0.56,0.89
2009-07-20,7,0.078,0.354
2009-07-20,8,1.472,1.994
2009-07-20,9,0.314,1.903
2009-07-20,10,0.168,0.671
2009-07-20,11,0.204,0.256
2009-07-20,12,0.198,1.731
2009-07-20,13,0.616,2.335
2009-07-20,14,1.805,4.487
2009-07-20,15,0.939,2.227
2009-07-20,16,0.152,0.534
2009-07-20,17,1.481,1.502
2009-07-20,18,0.241,0.399
2009-07-20,19,0.541,0.585
2009-07-20,20,0.269,1.223
2009-07-20,21,0.543,0.551
2009-07-20,22,0.268,0.494
2009-07-20,23,0.289,0.495
2009-07-20,24,0.351,0.646
2009-07-21,1,0.22,0.554
2009-07-21,2,0.073,0.326
2009-07-21,3,0.152,0.38
2009-07-21,4,0.183,0.188
2009-07-21,5,0.332,1.355
2009-07-21,6,0.606,0.716
2009-07-21,7,0.426,0.794
2009-07-21,8,0.855,0.985
2009-07-21,9,0.873,2.383
2009-07-21,10,1.083,1.62
2009-07-21,11,1.4,2.911
2009-07-21,12,1.116,1.828
2009-07-21,13,1.273,1.586
2009-07-21,14,2.149,2.989
2009-07-21,15,4.673,5.266
2009-07-21,16,1.01,2.503
2009-07-21,17,1.176,4.065
2009-07-21,18,0.763,0.84
2009-07-21,19,0.749,1.315
2009-07-21,20,0.793,1.85
2009-07-21,21,0.877,1.061
2009-07-21,22,0.836,1.191
2009-07-21,23,0.822,0.836
2009-07-21,24,0.686,0.942
2009-07-22,1,0.559,0.704
2009-07-22,2,0.466,0.671
2009-07-22,3,0.419,0.805
2009-07-22,4,0.711,0.79
2009-07-22,5,0.531,0.928
2009-07-22,6,0.208,0.766
2009-07-22,7,0.579,1.723
2009-07-22,8,0.382,0.403
2009-07-22,9,0.512,0.743
2009-07-22,10,0.636,0.661
2009-07-22,11,0.42,0.986
2009-07-22,12,0.464,0.519
